Dist Name,Year,Avg_O3
Agartala,2022,46.889821029082775
Agartala,2023,71.41369863013699
Agartala,2024,81.54405737704919
Agartala,2025,80.67714646464647
Ahmedabad,2022,54.46420581655481
Ahmedabad,2023,63.665182648401824
Ahmedabad,2024,71.36054189435337
Ahmedabad,2025,74.88585858585859
Aizawl,2022,52.35458612975391
Aizawl,2023,67.57111872146119
Aizawl,2024,56.12352003642987
Aizawl,2025,68.04924242424242
Bengaluru,2022,56.29110738255034
Bengaluru,2023,70.92842465753425
Bengaluru,2024,67.75603369763206
Bengaluru,2025,70.85858585858585
Bhopal,2022,75.28104026845638
Bhopal,2023,82.70194063926941
Bhopal,2024,85.04041438979964
Bhopal,2025,86.92474747474748
Bhubaneswar,2022,69.90939597315436
Bhubaneswar,2023,93.05102739726027
Bhubaneswar,2024,86.77402094717668
Bhubaneswar,2025,86.45631313131314
Chandigarh,2022,71.45134228187919
Chandigarh,2023,81.66152968036529
Chandigarh,2024,91.02834699453553
Chandigarh,2025,96.66464646464647
Chennai,2022,78.35290827740492
Chennai,2023,81.92671232876712
Chennai,2024,77.60405282331512
Chennai,2025,86.52866161616161
Dehradun,2022,75.72902684563758
Dehradun,2023,86.7796803652968
Dehradun,2024,89.53290072859745
Dehradun,2025,94.52878787878788
Delhi,2022,61.0998322147651
Delhi,2023,77.79748858447489
Delhi,2024,90.53005464480874
Delhi,2025,97.9314393939394
Gangtok,2022,81.8011744966443
Gangtok,2023,86.04885844748858
Gangtok,2024,85.76889799635701
Gangtok,2025,96.47803030303031
Gurugram,2022,56.98937360178971
Gurugram,2023,72.36312785388128
Gurugram,2024,84.44114298724955
Gurugram,2025,92.59722222222223
Guwahati,2022,68.80816554809843
Guwahati,2023,81.3324200913242
Guwahati,2024,75.1481102003643
Guwahati,2025,78.94532828282829
Hyderabad,2022,69.07718120805369
Hyderabad,2023,82.28618721461187
Hyderabad,2024,79.7042349726776
Hyderabad,2025,88.5635101010101
Imphal,2022,55.34423937360179
Imphal,2023,75.86449771689497
Imphal,2024,63.439207650273225
Imphal,2025,69.97651515151514
Itanagar,2022,69.7418903803132
Itanagar,2023,76.512100456621
Itanagar,2024,71.14640255009107
Itanagar,2025,79.82878787878788
Jaipur,2022,68.58976510067114
Jaipur,2023,79.2675799086758
Jaipur,2024,86.05305100182149
Jaipur,2025,89.54166666666667
Kohima,2022,61.11493288590604
Kohima,2023,72.87922374429223
Kohima,2024,65.88661202185793
Kohima,2025,73.27424242424243
Kolkata,2022,58.01733780760626
Kolkata,2023,83.7763698630137
Kolkata,2024,88.6148679417122
Kolkata,2025,87.94116161616162
Lucknow,2022,78.00363534675616
Lucknow,2023,87.92899543378995
Lucknow,2024,92.55031876138433
Lucknow,2025,98.35530303030303
Mumbai,2022,75.91694630872483
Mumbai,2023,87.89965753424657
Mumbai,2024,99.97506830601093
Mumbai,2025,93.52121212121212
Panaji,2022,68.03942953020135
Panaji,2023,70.0013698630137
Panaji,2024,65.44637978142076
Panaji,2025,65.18106060606061
Patna,2022,82.9244966442953
Patna,2023,92.36666666666666
Patna,2024,97.89480874316939
Patna,2025,98.97929292929292
Raipur,2022,48.67365771812081
Raipur,2023,72.51837899543379
Raipur,2024,81.18340163934427
Raipur,2025,81.29128787878788
Ranchi,2022,75.45078299776286
Ranchi,2023,92.76689497716895
Ranchi,2024,97.08720400728598
Ranchi,2025,102.19747474747474
Shillong,2022,74.32522371364654
Shillong,2023,85.18458904109589
Shillong,2024,79.17008196721312
Shillong,2025,85.43585858585858
Shimla,2022,69.92701342281879
Shimla,2023,80.41609589041096
Shimla,2024,90.6181693989071
Shimla,2025,102.13156565656566
Thiruvananthapuram,2022,84.19770693512304
Thiruvananthapuram,2023,82.9656392694064
Thiruvananthapuram,2024,80.6641621129326
Thiruvananthapuram,2025,81.61047979797979
Visakhapatnam,2022,57.61073825503356
Visakhapatnam,2023,72.75308219178082
Visakhapatnam,2024,71.16974043715847
Visakhapatnam,2025,70.69621212121213
